SiteCode,SurveyID,SurveyDate,SiteLat,Survey.T.Match,ECOregion,Barren_former_AB,Barren_former_SPR,SiteLong,realm,Country,Location,Depth,absSiteLat,r.SiteLat,CTI,CTDiv,AvrgBreadth,SDBreadth,CTImax,CTImax_fish_ECS,CTDiv_fish_ECS,AvrgBreadth_fish_ECS,sdSTI,STR,sdSTR,FRic,Richness_warmF,Abundance_warmF,Richness_coldF,Abundance_coldF,Richness_coldF_perc,Richness_warmF_perc,Anomaly,CTIsensitivity,COMBINED_SCORE,Site_Rich,Site_AB
AND32,912344604,2014-07-15,36.827938,21.20000076,Alboran Sea,1050,2,-2.491041,Temperate Northern Atlantic,Spain,Andalusia,2.4,36.827938,37,17.2362777,1.08842759,19.84922316,1.816727361,27.16088928,0.23052643,-0.105402993,0.540893301,2.634356832,18.65462123,3.436622742,0.120067266,4,43,3,54,16.66666667,22.22222222,3.021093849,Medium,Barren,18,981
AND33,912344605,2014-07-16,36.817418,21.20000076,Alboran Sea,554,2,-2.553114,Temperate Northern Atlantic,Spain,Andalusia,3.4,36.817418,37,17.23879536,1.033835034,19.87668271,1.832957748,27.17713672,0.273116363,-0.264674034,0.607557691,2.634356832,18.65462123,3.436622742,0.132311462,6,923,5,44,22.72727273,27.27272727,3.021093849,Medium,Barren,22,1741
AND38,912349140,2015-06-28,36.702335,20.20000076,Alboran Sea,273,2,-3.406356,Temperate Northern Atlantic,Spain,Andalusia,6.5,36.702335,37,17.45484356,1.006703777,19.97843808,2.168807503,27.4440626,0.972817705,-0.343828112,0.854592325,2.634356832,18.65462123,3.436622742,0.111697087,6,102,5,82,31.25,37.5,3.021093849,Medium,Barren,16,359
AND42,912349147,2015-06-29,36.748466,20.20000076,Alboran Sea,588,2,-3.176319,Temperate Northern Atlantic,Spain,Andalusia,3.1,36.748466,37,17.37581237,1.219690646,20.14412571,2.013006805,27.44787523,0.982811873,0.277550382,1.256837302,2.634356832,18.65462123,3.436622742,0.141873055,6,45,5,229,31.25,37.5,3.021093849,Medium,Barren,16,566
AND42,912349148,2015-06-29,36.748466,20.20000076,Alboran Sea,452,2,-3.176319,Temperate Northern Atlantic,Spain,Andalusia,3.2,36.748466,37,17.59612486,1.081518627,19.85425074,2.105078006,27.52325024,1.180394793,-0.125559545,0.553098919,2.634356832,18.65462123,3.436622742,0.141873055,6,64,4,127,25,37.5,3.021093849,Medium,Barren,16,329
AND43,912349149,2015-06-29,36.699064,20.37000084,Alboran Sea,246,2,-2.85448,Temperate Northern Atlantic,Spain,Andalusia,3.3,36.699064,37,16.98177782,0.902092082,19.50577861,1.273345469,26.73466712,-0.886743336,-0.649027482,-0.292897595,2.634356832,18.65462123,3.436622742,0.075223276,1,5,4,25,44.44444444,11.11111111,3.021093849,Medium,Barren,9,39
AND45,912349153,2015-06-30,36.735789,20.20000076,Alboran Sea,331,2,-3.757623,Temperate Northern Atlantic,Spain,Andalusia,4.8,36.735789,37,17.30356656,0.873575859,20.32046726,1.731176093,27.46380019,1.024556488,-0.73222213,1.684947108,2.634356832,18.65462123,3.436622742,0.131597035,3,294,4,108,26.66666667,20,3.021093849,Medium,Barren,15,1253
ARG1,912341864,2012-04-10,-42.25556,12.87999916,North Patagonian Gulfs,2800,1,-64.23408,Temperate South America,Argentina,Argentinian Gulfs,10,42.25556,-42,12.94542844,0.274423053,5.250857509,0.548846106,15.5708572,-0.718560524,-0.68242369,-0.70313434,2.303894129,7.581417097,5.472738551,0.031535596,4,202,3,80,42.85714286,57.14285714,1.596672058,High,Barren,7,282
ARG10,912341865,2012-04-15,-42.93361,12.43999958,North Patagonian Gulfs,595,2,-64.50111,Temperate South America,Argentina,Argentinian Gulfs,10,42.93361,-43,13.0059999,0.275396188,5.372000414,0.550792375,15.6920001,-0.637207922,-0.681615532,-0.625597708,2.303894129,7.581417097,5.472738551,0.021930951,2,43,1,14,33.33333333,66.66666667,1.596672058,High,Barren,3,57
ARG11,912341866,2012-04-17,-41.95856,13.3399992,North Patagonian Gulfs,525,1,-65.05808,Temperate South America,Argentina,Argentinian Gulfs,14,41.95856,-42,15.04591656,2.94173532,10.18383391,7.027424073,20.13783351,2.348357916,1.532694705,2.454181188,2.303894129,7.581417097,5.472738551,0.00948747,5,777,NA,NA,NA,83.33333333,1.596672058,High,Barren,6,797
ARG12,912341867,2012-04-17,-41.95203,13.3399992,North Patagonian Gulfs,62,1,-65.06206,Temperate South America,Argentina,Argentinian Gulfs,4,41.95203,-42,13.99428563,2.382454513,7.304571914,4.763440571,17.64657158,0.675369789,1.068229701,0.611330571,2.303894129,7.581417097,5.472738551,0.036389013,6,320,1,3,14.28571429,85.71428571,1.596672058,High,Kelp,7,323
ARG12,912341868,2012-04-17,-41.95203,13.3399992,North Patagonian Gulfs,65,1,-65.06206,Temperate South America,Argentina,Argentinian Gulfs,3.5,41.95203,-42,14.40819994,2.779879669,8.167600514,5.540081963,18.4920002,1.24311099,1.398278711,1.163705725,2.303894129,7.581417097,5.472738551,0.00257151,5,163,NA,NA,NA,100,1.596672058,High,Kelp,5,163
ARG13,912341869,2012-04-17,-41.94308,13.3399992,North Patagonian Gulfs,156,1,-65.05764,Temperate South America,Argentina,Argentinian Gulfs,3.5,41.94308,-42,14.1324999,2.57892238,7.573667143,5.159474435,17.91933348,0.858540977,1.231390044,0.783563007,2.303894129,7.581417097,5.472738551,0.036182476,5,409,1,1,16.66666667,83.33333333,1.596672058,High,Kelp,6,410
ARG13,912341870,2012-04-16,-41.94308,13.3399992,North Patagonian Gulfs,45,1,-65.05764,Temperate South America,Argentina,Argentinian Gulfs,4,41.94308,-42,14.42139993,2.772647942,8.141200539,5.555134057,18.4920002,1.24311099,1.392272991,1.146808614,2.303894129,7.581417097,5.472738551,0.004343673,5,1041,NA,NA,NA,100,1.596672058,High,Kelp,5,1041
ARG2,912341871,2012-04-11,-42.62544,12.87999916,North Patagonian Gulfs,268,1,-64.25611,Temperate South America,Argentina,Argentinian Gulfs,15.5,42.62544,-43,12.90883319,0.281283184,5.177667004,0.562566367,15.49766669,-0.767711055,-0.676726569,-0.749979388,2.303894129,7.581417097,5.472738551,0.032074894,3,238,3,61,50,50,1.596672058,High,Barren,6,299
ARG3,912341872,2012-04-11,-42.62194,12.87999916,North Patagonian Gulfs,623,1,-64.275,Temperate South America,Argentina,Argentinian Gulfs,11.5,42.62194,-43,13.83342843,2.459688604,7.020571776,4.902837964,17.34371432,0.471988283,1.132370168,0.429558356,2.303894129,7.581417097,5.472738551,0.039126429,4,373,3,160,42.85714286,57.14285714,1.596672058,High,Barren,7,533
ARG4,912341874,2012-04-11,-42.62836,12.87999916,North Patagonian Gulfs,240,1,-64.24044,Temperate South America,Argentina,Argentinian Gulfs,18,42.62836,-43,12.90883319,0.281283184,5.177667004,0.562566367,15.49766669,-0.767711055,-0.676726569,-0.749979388,2.303894129,7.581417097,5.472738551,0.032074894,3,434,3,112,50,50,1.596672058,High,Barren,6,546
ARG5,912341875,2012-04-12,-42.76925,12.87999916,North Patagonian Gulfs,683,2,-64.97011,Temperate South America,Argentina,Argentinian Gulfs,18,42.76925,-43,12.96359988,0.276414292,5.28720038,0.552828583,15.60720007,-0.694154743,-0.68077003,-0.67987335,2.303894129,7.581417097,5.472738551,0.031014417,3,340,2,55,40,60,1.596672058,High,Barren,5,395
ARG6,912341876,2012-04-12,-42.77528,12.87999916,North Patagonian Gulfs,2420,2,-64.94983,Temperate South America,Argentina,Argentinian Gulfs,10,42.77528,-43,13.04574991,0.238500095,5.451500446,0.477000189,15.77150014,-0.583820276,-0.71225657,-0.574714293,2.303894129,7.581417097,5.472738551,0.029235464,3,75,1,1,25,75,1.596672058,High,Barren,4,76
ARG7,912341878,2012-04-12,-42.77069,12.87999916,North Patagonian Gulfs,1578,2,-64.93636,Temperate South America,Argentina,Argentinian Gulfs,12,42.77069,-43,12.96359988,0.276414292,5.28720038,0.552828583,15.60720007,-0.694154743,-0.68077003,-0.67987335,2.303894129,7.581417097,5.472738551,0.031014417,3,154,2,67,40,60,1.596672058,High,Barren,5,221
ARG8,912341879,2012-04-15,-42.94156,12.43999958,North Patagonian Gulfs,258,1,-64.45508,Temperate South America,Argentina,Argentinian Gulfs,10,42.94156,-43,12.96359988,0.276414292,5.28720038,0.552828583,15.60720007,-0.694154743,-0.68077003,-0.67987335,2.303894129,7.581417097,5.472738551,0.031591586,3,144,2,28,40,60,1.596672058,High,Barren,5,172
ARG9,912341881,2012-04-15,-42.94778,12.43999958,North Patagonian Gulfs,31,1,-64.43342,Temperate South America,Argentina,Argentinian Gulfs,8,42.94778,-43,13.08291659,0.19356826,5.518500477,0.384517384,15.84216683,-0.536364591,-0.749571036,-0.531831412,2.303894129,7.581417097,5.472738551,0.038928933,4,25,1,10,16.66666667,66.66666667,1.596672058,High,Kelp,6,95
BMP-S10,2001381,2008-12-06,-35.75012,16.86000061,Cape Howe,334,2,150.26204,Temperate Australasia,Australia,Batemans Marine Park,7,35.75012,-36,19.30984502,1.208593079,12.4994531,1.378847247,25.55957157,0.23912251,0.233814318,-0.149340565,2.388229971,12.58664383,2.152958711,0.121596969,9,149,5,81,23.80952381,42.85714286,2.146705476,High,Barren,21,358
BMP-S10,2001384,2008-12-06,-35.75012,16.86000061,Cape Howe,287,1,150.26204,Temperate Australasia,Australia,Batemans Marine Park,10.3,35.75012,-36,19.55563218,0.851615368,12.33091253,1.151782804,25.72108845,0.517617217,-0.594034863,-0.526287863,2.388229971,12.58664383,2.152958711,0.188015971,6,356,2,3,11.76470588,35.29411765,2.146705476,High,Barren,17,857
BMP-S10,2001385,2008-12-06,-35.75012,16.86000061,Cape Howe,268,1,150.26204,Temperate Australasia,Australia,Batemans Marine Park,10.4,35.75012,-36,19.44333324,0.818790672,12.48872291,1.387620618,25.68769469,0.460038191,-0.670156976,-0.173339032,2.388229971,12.58664383,2.152958711,0.134942081,5,230,3,6,16.66666667,27.77777778,2.146705476,High,Barren,18,335
BMP-S10,2001387,2009-08-17,-35.75012,14.71000004,Cape Howe,250,1,150.26204,Temperate Australasia,Australia,Batemans Marine Park,10.1,35.75012,-36,19.33190775,1.075859479,12.48829017,1.154481182,25.57605284,0.267540263,-0.074001545,-0.174306864,2.388229971,12.58664383,2.152958711,0.142468189,6,538,3,27,15.78947368,31.57894737,2.146705476,High,Barren,19,848
BMP-S10,2002418,2011-01-16,-35.75012,20.46999931,Cape Howe,233,1,150.26204,Temperate Australasia,Australia,Batemans Marine Park,10.1,35.75012,-36,19.42283014,0.930870346,12.26584004,1.032414545,25.55575015,0.232533453,-0.410238603,-0.671824945,2.388229971,12.58664383,2.152958711,0.223719243,9,262,4,4,14.28571429,32.14285714,2.146705476,High,Barren,28,563
BMP-S10,2002419,2011-01-16,-35.75012,20.46999931,Cape Howe,273,1,150.26204,Temperate Australasia,Australia,Batemans Marine Park,10.2,35.75012,-36,19.54426909,0.821333849,12.26200061,1.155385342,25.6752694,0.438613936,-0.664259222,-0.680411965,2.388229971,12.58664383,2.152958711,0.114184325,5,51,1,1,7.692307692,38.46153846,2.146705476,High,Barren,13,401
BMP-S10,2002420,2011-01-16,-35.75012,20.46999931,Cape Howe,237,1,150.26204,Temperate Australasia,Australia,Batemans Marine Park,10.3,35.75012,-36,19.66942477,0.415181049,12.0248507,0.304989527,25.68185012,0.449960713,-1.606147898,-1.210806647,2.388229971,12.58664383,2.152958711,0.203538665,4,23,1,1,10,40,2.146705476,High,Barren,10,136
BMP-S10,912340182,2012-02-13,-35.75012,22.80999947,Cape Howe,260,1,150.26204,Temperate Australasia,Australia,Batemans Marine Park,10.1,35.75012,-36,19.76477475,0.487330938,12.33655058,1.119204018,25.93305004,0.883090986,-1.438828693,-0.513678155,2.388229971,12.58664383,2.152958711,0.236562144,9,153,1,35,5,45,2.146705476,High,Barren,20,484
BMP-S10,912340223,2012-02-13,-35.75012,22.80999947,Cape Howe,300,1,150.26204,Temperate Australasia,Australia,Batemans Marine Park,10.3,35.75012,-36,19.83110914,0.416402688,12.3163444,1.142009703,25.98928134,0.980047524,-1.603314856,-0.558870046,2.388229971,12.58664383,2.152958711,0.16344832,7,976,NA,NA,NA,43.75,2.146705476,High,Barren,16,1348
BMP-S10,912340224,2012-02-13,-35.75012,22.80999947,Cape Howe,259,2,150.26204,Temperate Australasia,Australia,Batemans Marine Park,10.2,35.75012,-36,19.62997204,0.452199571,12.3021118,1.01847081,25.78102793,0.62096759,-1.520300093,-0.590701786,2.388229971,12.58664383,2.152958711,0.200123909,6,323,2,2,11.11111111,33.33333333,2.146705476,High,Barren,18,495
BMP-S11,2000878,2008-03-26,-35.75073,19.73999977,Cape Howe,145,1,150.25915,Temperate Australasia,Australia,Batemans Marine Park,10,35.75073,-36,19.43393039,0.770280371,12.33336171,1.052963359,25.60061125,0.309884976,-0.782654795,-0.520810195,2.388229971,12.58664383,2.152958711,0.251119098,4,372,3,3,16.66666667,22.22222222,2.146705476,High,Kelp,18,436
BMP-S11,2000879,2009-08-17,-35.75073,14.71000004,Cape Howe,86,2,150.25915,Temperate Australasia,Australia,Batemans Marine Park,5,35.75073,-36,19.42903313,0.846220661,12.26840071,1.078298189,25.56323348,0.245436547,-0.60654546,-0.666097898,2.388229971,12.58664383,2.152958711,0.060000426,5,61,3,26,20,33.33333333,2.146705476,High,Kelp,15,299
BMP-S11,2000881,2010-01-26,-35.75073,20.36000061,Cape Howe,202,1,150.25915,Temperate Australasia,Australia,Batemans Marine Park,5.2,35.75073,-36,19.31023604,1.005523966,12.72352855,1.588906095,25.67200031,0.432977232,-0.237113121,0.351812603,2.388229971,12.58664383,2.152958711,0.228116961,6,208,4,40,22.22222222,33.33333333,2.146705476,High,Barren,18,454
BMP-S11,2000882,2010-01-26,-35.75073,20.36000061,Cape Howe,292,2,150.25915,Temperate Australasia,Australia,Batemans Marine Park,5.3,35.75073,-36,19.23780544,1.001854004,12.504223,1.351716583,25.48991694,0.119020855,-0.245623946,-0.138672501,2.388229971,12.58664383,2.152958711,0.228116961,5,340,5,48,27.77777778,27.77777778,2.146705476,High,Barren,18,552
BMP-S11,2002422,2010-12-05,-35.75073,17.76000023,Cape Howe,107,1,150.25915,Temperate Australasia,Australia,Batemans Marine Park,5,35.75073,-36,19.38459076,0.930137656,12.7450918,1.670696855,25.75713666,0.579773182,-0.411937747,0.400039615,2.388229971,12.58664383,2.152958711,0.0527167,3,126,2,16,18.18181818,27.27272727,2.146705476,High,Kelp,11,190
BMP-S11,2002423,2010-12-05,-35.75073,17.76000023,Cape Howe,184,1,150.25915,Temperate Australasia,Australia,Batemans Marine Park,5.1,35.75073,-36,19.34837494,0.848265163,12.38800073,1.190314224,25.5423753,0.209471928,-0.601804158,-0.398607979,2.388229971,12.58664383,2.152958711,0.04025705,2,107,2,9,16.66666667,16.66666667,2.146705476,High,Kelp,12,156
BMP-S11,2002425,2010-12-05,-35.75073,17.76000023,Cape Howe,317,2,150.25915,Temperate Australasia,Australia,Batemans Marine Park,5.3,35.75073,-36,19.51120811,0.804684707,12.48408388,1.351717621,25.75325005,0.57307171,-0.702869417,-0.183714403,2.388229971,12.58664383,2.152958711,0.153820495,6,449,2,7,11.11111111,33.33333333,2.146705476,High,Barren,18,636
BMP-S11,912340180,2012-01-26,-35.75073,20.62000084,Cape Howe,170,1,150.25915,Temperate Australasia,Australia,Batemans Marine Park,5.2,35.75073,-36,19.5097198,1.072472834,12.57484081,1.318425899,25.7971402,0.648749096,-0.081855345,0.019266889,2.388229971,12.58664383,2.152958711,0.288351043,10,371,4,21,16,40,2.146705476,High,Kelp,25,528
BMP-S13,2000929,2010-01-14,-35.85507,19.90999985,Cape Howe,200,1,150.19207,Temperate Australasia,Australia,Batemans Marine Park,5.1,35.85507,-36,19.49583914,0.877250202,12.5070364,1.140032596,25.74935734,0.566359716,-0.5345864,-0.132380227,2.388229971,12.58664383,2.152958711,0.248755091,5,112,2,4,14.28571429,35.71428571,2.146705476,High,Barren,14,355
BMP-S13,2002428,2010-11-18,-35.85507,16.84000015,Cape Howe,270,1,150.19207,Temperate Australasia,Australia,Batemans Marine Park,5.2,35.85507,-36,19.5252832,0.826352,12.54623398,1.455319781,25.79840019,0.65092162,-0.652621879,-0.044713357,2.388229971,12.58664383,2.152958711,0.116769607,6,622,2,6,13.33333333,40,2.146705476,High,Barren,15,716
BMP-S13,2002429,2010-11-18,-35.85507,16.84000015,Cape Howe,230,1,150.19207,Temperate Australasia,Australia,Batemans Marine Park,5.3,35.85507,-36,19.16326464,1.235659106,12.41447147,1.144148039,25.37050038,-0.086882587,0.29658179,-0.339405169,2.388229971,12.58664383,2.152958711,0.151902912,4,384,3,9,17.64705882,23.52941176,2.146705476,High,Barren,17,519
BMP-S13,912340175,2012-01-13,-35.85507,19.54000092,Cape Howe,220,1,150.19207,Temperate Australasia,Australia,Batemans Marine Park,5.3,35.85507,-36,19.43503109,0.79335102,12.31475068,1.048203972,25.59240643,0.295737867,-0.729152805,-0.56243445,2.388229971,12.58664383,2.152958711,0.158611243,4,63,2,7,12.5,25,2.146705476,High,Barren,16,491
BMP-S13,912340176,2012-01-13,-35.85507,19.54000092,Cape Howe,200,1,150.19207,Temperate Australasia,Australia,Batemans Marine Park,5.2,35.85507,-36,19.4192692,0.835695672,12.30892381,1.155235198,25.57373111,0.263537024,-0.630953436,-0.575466472,2.388229971,12.58664383,2.152958711,0.193469596,3,216,2,5,15.38461538,23.07692308,2.146705476,High,Barren,13,450
BMP-S13,912343036,2013-03-12,-35.85507,20.28000069,Cape Howe,642,1,150.19207,Temperate Australasia,Australia,Batemans Marine Park,5,35.85507,-36,19.34056506,1.120274995,12.23960948,1.061429112,25.4603698,0.068074335,0.029000261,-0.730490578,2.388229971,12.58664383,2.152958711,0.265706834,8,431,3,5,13.04347826,34.7826087,2.146705476,High,Barren,23,713
BMP-S13,912344999,2015-05-19,-35.85507,17.48999977,Cape Howe,610,1,150.19207,Temperate Australasia,Australia,Batemans Marine Park,5,35.85507,-36,19.54002613,1.010200205,12.54505321,1.61379973,25.81255274,0.675324079,-0.226268689,-0.047354192,2.388229971,12.58664383,2.152958711,0.1523543,9,1569,2,2,10.52631579,47.36842105,2.146705476,High,Barren,19,2337
BMP-S14,2000941,2010-01-11,-35.83457,19.90999985,Cape Howe,181,2,150.20885,Temperate Australasia,Australia,Batemans Marine Park,5.1,35.83457,-36,19.28192176,0.829374585,12.45753209,1.115216494,25.51068781,0.154834921,-0.645612352,-0.243098463,2.388229971,12.58664383,2.152958711,0.060133926,2,3,4,16,25,12.5,2.146705476,High,Kelp,16,120
BMP-S14,2000942,2010-01-11,-35.83457,19.90999985,Cape Howe,255,2,150.20885,Temperate Australasia,Australia,Batemans Marine Park,5.2,35.83457,-36,19.17226916,0.887904338,12.57677007,1.21183926,25.4606542,0.068564707,-0.509878926,0.023581743,2.388229971,12.58664383,2.152958711,0.060133926,1,2,4,15,30.76923077,7.692307692,2.146705476,High,Barren,13,136
BMP-S14,2000943,2010-01-11,-35.83457,19.90999985,Cape Howe,229,2,150.20885,Temperate Australasia,Australia,Batemans Marine Park,5.3,35.83457,-36,19.39292175,0.818276048,12.32303197,1.153768452,25.55443774,0.230270525,-0.671350416,-0.543913034,2.388229971,12.58664383,2.152958711,0.096070091,4,94,3,18,18.75,25,2.146705476,High,Barren,16,264
BMP-S14,2002430,2010-11-18,-35.83457,16.84000015,Cape Howe,97,2,150.20885,Temperate Australasia,Australia,Batemans Marine Park,5,35.83457,-36,19.43095823,0.900869777,12.36908431,1.193555324,25.61550039,0.335557504,-0.479811423,-0.440915253,2.388229971,12.58664383,2.152958711,0.12113893,4,39,2,10,16.66666667,33.33333333,2.146705476,High,Kelp,12,91
BMP-S14,2002431,2010-11-18,-35.83457,16.84000015,Cape Howe,110,2,150.20885,Temperate Australasia,Australia,Batemans Marine Park,5.1,35.83457,-36,19.41160408,0.880277883,12.31279267,1.209789011,25.56800041,0.2536559,-0.527565056,-0.566813611,2.388229971,12.58664383,2.152958711,0.20412106,4,46,2,10,16.66666667,33.33333333,2.146705476,High,Kelp,12,89
BMP-S14,2002432,2010-11-18,-35.83457,16.84000015,Cape Howe,55,2,150.20885,Temperate Australasia,Australia,Batemans Marine Park,5.2,35.83457,-36,19.36601907,0.828295736,12.41196246,1.156901495,25.5720003,0.260552684,-0.648114258,-0.345016669,2.388229971,12.58664383,2.152958711,0.136909475,3,24,2,24,15.38461538,23.07692308,2.146705476,High,Kelp,13,124
BMP-S14,2002433,2010-11-18,-35.83457,16.84000015,Cape Howe,117,2,150.20885,Temperate Australasia,Australia,Batemans Marine Park,5.3,35.83457,-36,19.48059352,0.765360357,12.17987578,1.082944774,25.57053141,0.258019961,-0.794064551,-0.864087237,2.388229971,12.58664383,2.152958711,0.148027942,4,69,2,13,12.5,25,2.146705476,High,Kelp,16,170
BMP-S14,912340163,2011-12-18,-35.83457,18.47999954,Cape Howe,143,2,150.20885,Temperate Australasia,Australia,Batemans Marine Park,5.2,35.83457,-36,19.28158918,0.850189984,12.23517957,1.245795339,25.39917896,-0.037433678,-0.597340401,-0.740398236,2.388229971,12.58664383,2.152958711,0.122520022,3,22,3,9,21.42857143,21.42857143,2.146705476,High,Kelp,14,103
BMP-S14,912343040,2013-03-13,-35.83457,20.28000069,Cape Howe,358,2,150.20885,Temperate Australasia,Australia,Batemans Marine Park,5,35.83457,-36,19.13511835,1.298098725,12.47986922,1.502368673,25.37505296,-0.079032815,0.441382393,-0.193140645,2.388229971,12.58664383,2.152958711,0.284222729,6,158,4,20,21.05263158,31.57894737,2.146705476,High,Barren,19,304
